address,sentiment,gid
AGIOS ELEFTHERIOS,0.7142857142857143,0
AGIOS KONSTANTINOS - PL. VATHI - AGIOS PAVLOS,0.6929886685552408,1
AKADIMIA PLATONOS,0.7777777777777778,2
AKROPOLIS,0.7073894282632147,3
ANO KYPSELI,0.7440476190476191,4
ANO PETRALONA,0.7371310912834592,5
DOURGOUTI,0.7030031025030874,6
ELAIONAS,0.0,7
EMPORIKO TRIGONO - MONASTIRAKI - PLAKA,0.6148567189093944,8
GIROKOMEIO,0.7143496753973584,9
GKYZI,0.7431457431457431,10
GOUVA,0.7214008776788378,11
KATO PETRALONA,0.6978226234731811,12
KOLOKYNTHOU,0.6880689985625299,13
KOLONAKI,0.6969632505451258,14
KOUKAKI,0.7155059132720105,15
KYPSELI,0.7197426818929836,16
MAKRYGIANNI - KOUKAKI - VEIKOU - FILOPAPPOU,0.7020262216924911,17
MOUSEIO - EXARCHEIA - NEAPOLI,0.73407917383821,18
NEA SMYRNI,0.736372646184341,19
NEOS KOSMOS,0.6933219906422798,20
OMONOIA,0.5384615384615384,21
OSE,0.6046901172529313,22
PAGKRATI,0.7130434782608696,23
PLATEIA AMERIKIS,0.8076923076923077,24
PLATEIA ATTIKIS,0.5454545454545454,25
PROMPONA,0.6902569074163839,26
RIZOUPOLI,0.684931506849315,27
ROUF,0.7153292512622194,28
SEPOLIA,0.7021716649431231,29
STADIO,0.6880825565912118,30
VOTANIKOS,0.5,31
ZOGRAFOU,1.0,32
